app_name,avg_rating,review_counts,higher_price,play_store_price,app_store_price,purchase_price,longevity_in_years,gross_profit,net_profit,android_genre,apple_genre
PewDiePie's Tuber Simulator,4.9,1590317,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Domino's Pizza USA,4.9,1291559,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Food & Drink,Food & Drink
"Egg, Inc.",4.9,659234,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Simulation,Games
The Guardian,4.9,256168,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",News & Magazines,News
ASOS,4.9,191536,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Shopping,Shopping
Geometry Dash Lite,4.8,6552010,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Fernanfloo,4.7,529481,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Clash of Clans,4.6,47020500,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Strategy,Games
Clash Royale,4.6,23399496,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Strategy,Games
Shadow Fight 2,4.6,11079662,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Score! Hero,4.6,5504737,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Sports,Games
Pinterest,4.6,5365563,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Social,Social Networking
Township,4.6,4532118,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Bible,4.6,3426615,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Books & Reference,Reference
War Robots,4.6,3170373,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Fallout Shelter,4.6,2919929,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Simulation,Games
Hill Climb Racing 2,4.6,2784382,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
MARVEL Future Fight,4.6,2374948,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Role Playing,Games
Fishdom,4.6,2197364,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Puzzle,Games
Toy Blast,4.6,1965238,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Puzzle,Games
Geometry Dash Meltdown,4.6,1708599,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Chase Mobile,4.6,1408871,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Finance,Finance
Zombie Catchers,4.6,1007208,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Solitaire,4.6,883316,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Card,Games
Choices: Stories You Play,4.6,840945,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Simulation,Games
FINAL FANTASY BRAVE EXVIUS,4.6,773871,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Role Playing,Games
Geometry Dash World,4.6,765347,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Hitman Sniper,4.6,416744,$0.99 ,$0.99 ,$0.99 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Animal Jam - Play Wild!,4.6,388842,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual;Pretend Play,Games
Angry Birds Blast,4.6,277993,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Puzzle,Games
Narcos: Cartel Wars,4.6,249287,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Strategy,Games
Fuel Rewards® program,4.6,34682,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Lifestyle,Shopping
WhatsApp Messenger,4.5,69403690,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Communication,Social Networking
Instagram,4.5,68722055,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Social,Photo & Video
Subway Surfers,4.5,28428103,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Candy Crush Saga,4.5,23389385,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
My Talking Tom,4.5,15013502,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Hay Day,4.5,10620530,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
My Talking Angela,4.5,9935417,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Hill Climb Racing,4.5,9031359,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
Asphalt 8: Airborne,4.5,8578282,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
Farm Heroes Saga,4.5,7802153,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
PicsArt Photo Studio: Collage Maker & Pic Editor,4.5,7621407,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Photography,Photo & Video
Trivia Crack,4.5,6821242,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Trivia,Games
Wish - Shopping Made Fun,4.5,6351139,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Shopping,Shopping
Candy Crush Soda Saga,4.5,6332240,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Hungry Shark Evolution,4.5,6157285,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Boom Beach,4.5,5833582,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Strategy,Games
Traffic Racer,4.5,5410168,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
Jetpack Joyride,4.5,5043448,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Zombie Tsunami,4.5,4952026,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
ROBLOX,4.5,4632330,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Adventure;Action & Adventure,Games
SimCity BuildIt,4.5,4416925,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Simulation,Games
Smash Hit,4.5,4273951,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Sonic Dash,4.5,4196405,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Need for Speed™ No Limits,4.5,3379298,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
Cooking Fever,4.5,3305818,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
MORTAL KOMBAT X,4.5,3154364,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Injustice: Gods Among Us,4.5,3053409,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Angry Birds Rio,4.5,2781382,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Angry Birds Epic RPG,4.5,2719285,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Role Playing,Games
Swamp Attack,4.5,2136195,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Microsoft Word,4.5,2130331,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Productivity,Productivity
Real Basketball,4.5,1803317,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Sports,Games
Call of Duty®: Heroes,4.5,1783562,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
My Horse,4.5,1627195,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Star Wars™: Galaxy of Heroes,4.5,1583958,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Role Playing,Games
Photo Editor by Aviary,4.5,1530228,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Photography,Photo & Video
Red Ball 4,4.5,1442265,$0.99 ,$0.00 ,$0.99 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Yahoo Weather,4.5,1424640,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Weather,Weather
Hungry Shark World,4.5,1266993,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Rolling Sky,4.5,1147882,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Board,Games
Microsoft Excel,4.5,1103984,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Productivity,Productivity
Plants vs. Zombies™ 2,4.5,835026,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
PES CLUB MANAGER,4.5,786241,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Sports,Games
Bad Piggies HD,4.5,783985,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Puzzle,Games
Starbucks,4.5,759293,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Food & Drink,Food & Drink
Talking Tom Bubble Shooter,4.5,689795,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
Solitaire,4.5,679740,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Card;Brain Games,Games
Inside Out Thought Bubbles,4.5,645279,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Puzzle;Brain Games,Games
Bullet Force,4.5,643448,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Design Home,4.5,563229,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Simulation,Games
Disney Crossy Road,4.5,552659,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade;Action & Adventure,Games
Hot Wheels: Race Off,4.5,523773,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing;Action & Adventure,Games
Microsoft OneNote,4.5,520278,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Productivity,Productivity
Real Racing 3,4.5,518902,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing;Action & Adventure,Games
YouTube Kids,4.5,498897,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Entertainment;Music & Video,Entertainment
Nyan Cat: Lost In Space,4.5,447710,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Arcade,Games
Dude Perfect 2,4.5,429898,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action,Games
Plants vs. Zombies™ Heroes,4.5,395635,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual;Action & Adventure,Games
Bejeweled Classic,4.5,386360,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Casual,Games
The CW,4.5,385533,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Entertainment,Entertainment
GroupMe,4.5,359021,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Communication,Social Networking
Discord - Chat for Gamers,4.5,314499,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Communication,Social Networking
ClassDojo,4.5,183985,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Education;Education,Education
Gear.Club - True Racing,4.5,143451,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Racing,Games
DoorDash - Food Delivery,4.5,130451,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Food & Drink,Food & Drink
Army of Heroes,4.5,86250,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Strategy,Games
Seven - 7 Minute Workout Training Challenge,4.5,82379,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Health & Fitness,Health & Fitness
OK K.O.! Lakewood Plaza Turbo,4.5,77038,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Action;Action & Adventure,Games
Trello,4.5,75306,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Productivity,Productivity
Adobe Illustrator Draw,4.5,68981,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Photography,Productivity
The Washington Post Classic,4.5,41730,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",News & Magazines,News
Dude Perfect,4.5,9860,$0.99 ,$0.00 ,$0.99 ,"$10,000.00 ",10,"$100,000.00 ","$90,000.00 ",Sports,Games
Cytus,4.9,549657,$1.99 ,$0.00 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Music,Games
H*nest Meditation,4.7,200,$1.99 ,$1.99 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Lifestyle,Entertainment
Earn to Die 2,4.6,1330339,$1.99 ,$0.00 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Racing,Games
Where's My Water?,4.6,320396,$1.99 ,$1.99 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Puzzle;Brain Games,Games
Dragon Hills,4.5,359881,$1.99 ,$0.00 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Action,Games
AJ Jump: Animal Jam Kangaroos!,4.5,3809,$1.99 ,$1.99 ,$1.99 ,"$19,900.00 ",10,"$100,000.00 ","$80,100.00 ",Arcade,Games
Pou,4.4,10488733,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Casual,Games
Temple Run 2,4.4,8413699,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
Temple Run,4.4,5724979,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
WeChat,4.4,5422048,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Communication,Social Networking
Fruit Ninja®,4.4,5418473,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Agar.io,4.4,3992721,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
MARVEL Contest of Champions,4.4,2702088,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
Summoners War,4.4,2182676,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Role Playing,Games
Episode - Choose Your Story,4.4,1997624,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Simulation,Games
Dubsmash,4.4,1992020,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Video Players & Editors,Entertainment
Flow Free,4.4,1669398,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Puzzle,Games
Frozen Free Fall,4.4,1624909,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Puzzle;Action & Adventure,Games
Doodle Jump,4.4,1478832,$0.99 ,$0.00 ,$0.99 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
The Sims™ FreePlay,4.4,1378429,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Simulation,Games
Angry Birds Star Wars,4.4,1252193,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Bad Piggies,4.4,1195218,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Puzzle,Games
aa,4.4,1045263,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Strategy,Games
Google Docs,4.4,880235,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Productivity,Productivity
Talking Ginger 2,4.4,711286,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Entertainment,Entertainment
Xbox,4.4,628846,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Entertainment,Entertainment
Google Sheets,4.4,521000,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Productivity,Productivity
Deck Heroes: Legacy,4.4,466989,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Card,Games
GMX Mail,4.4,258658,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Communication,Productivity
WGT Golf Game by Topgolf,4.4,201368,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Sports,Games
Verizon Cloud,4.4,192114,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Productivity,Productivity
Pineapple Pen,4.4,163694,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Star Chart,4.4,142290,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Education;Education,Education
Super Jabber Jump,4.4,86494,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Photo Editor-,4.4,77166,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Photography,Photo & Video
Wishbone - Compare Anything,4.4,72218,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Social,Social Networking
Afterlight,4.4,64950,$0.99 ,$0.00 ,$0.99 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Photography,Photo & Video
Smashy Road: Arena,4.4,48765,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
Regal Cinemas,4.4,45989,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Entertainment,Entertainment
PAC-MAN Pop,4.4,25877,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Puzzle;Action & Adventure,Games
Angry Birds 2,4.3,3991775,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Casual,Games
Snapseed,4.3,831792,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Photography,Photo & Video
WWE,4.3,744397,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Entertainment,Entertainment
Microsoft PowerPoint,4.3,629736,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Productivity,Productivity
Fandango Movies - Times + Tickets,4.3,535534,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Entertainment,Entertainment
Farming Simulator 14,4.3,534494,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Simulation;Action & Adventure,Games
My Emma :),4.3,254251,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Casual,Games
USAA Mobile,4.3,120943,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Finance,Finance
Angry Birds Space HD,4.3,83147,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Tiny Archers,4.3,81246,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
Tomb of the Mask,4.3,63434,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Action,Games
Mad Skills Motocross,4.3,41863,$0.99 ,$0.00 ,$0.99 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Racing,Games
Endless Ducker,4.3,8832,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Arcade,Games
Tumblr,4.2,3289139,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Social,Social Networking
Kik,4.2,2712101,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Communication,Social Networking
NBA LIVE Mobile Basketball,4.2,1731421,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Sports,Games
Candy Crush Jelly Saga,4.2,1332950,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Puzzle,Games
The Simpsons™: Tapped Out,4.2,911496,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Casual,Games
Indeed Job Search,4.2,713411,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Business,Business
Puffin Web Browser,4.2,553157,$0.00 ,$0.00 ,$0.00 ,"$10,000.00 ",9,"$90,000.00 ","$80,000.00 ",Communication,Utilities
